ITAPIPOCA (A359);
Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm);
01/07/2018;0100;25,8;25,9;25,7;71,0;71,0;69,0;20,2;20,2;19,6;1000,8;1000,8;1000,5;2,8;104,0;6,2;;0,0;
01/07/2018;0200;25,8;25,8;25,7;73,0;73,0;71,0;20,5;20,5;20,2;1000,6;1000,9;1000,6;2,9;102,0;6,6;;0,0;
01/07/2018;0300;25,8;25,9;25,7;71,0;73,0;71,0;20,1;20,5;20,1;1000,3;1000,6;1000,3;3,4;113,0;6,1;;0,0;
01/07/2018;0400;25,4;25,9;25,4;76,0;76,0;71,0;20,7;20,7;20,1;999,7;1000,3;999,7;2,9;107,0;6,1;;0,0;
01/07/2018;0500;25,5;25,6;25,4;75,0;76,0;75,0;20,8;21,1;20,7;998,9;999,7;998,9;4,2;94,0;6,8;;0,0;
01/07/2018;0600;25,4;25,6;25,4;76,0;76,0;75,0;20,8;21,0;20,8;998,9;998,9;998,8;2,4;100,0;6,8;;0,0;
01/07/2018;0700;25,5;25,6;25,4;75,0;76,0;73,0;20,6;20,8;20,4;998,9;999,1;998,9;2,5;102,0;5,6;;0,0;
01/07/2018;0800;25,5;25,9;25,5;72,0;75,0;71,0;20,1;20,8;20,0;999,2;999,2;998,9;1,1;165,0;5,5;;0,0;
01/07/2018;0900;24,6;25,5;24,3;74,0;75,0;72,0;19,7;20,2;19,5;999,4;999,4;999,1;1,5;293,0;4,7;3,88;0,0;
01/07/2018;1000;24,6;24,8;24,1;76,0;76,0;73,0;20,2;20,3;19,4;999,9;999,9;999,4;0,8;261,0;3,1;164,52;0,0;
01/07/2018;1100;28,1;28,1;24,6;62,0;77,0;62,0;20,2;21,0;20,0;1000,4;1000,4;999,9;3,3;115,0;7,3;886,59;0,0;
01/07/2018;1200;29,2;29,5;28,0;52,0;62,0;51,0;18,3;20,2;17,8;1000,5;1000,6;1000,4;3,2;131,0;9,5;1937,41;0,0;
01/07/2018;1300;30,8;31,0;29,1;47,0;52,0;47,0;18,4;19,0;17,6;1000,2;1000,6;1000,2;2,7;142,0;7,0;2463,82;0,0;
01/07/2018;1400;31,7;32,2;29,8;45,0;51,0;45,0;18,2;19,4;17,5;999,9;1000,2;999,8;2,6;123,0;6,2;2522,01;0,0;
01/07/2018;1500;32,1;32,8;30,5;42,0;47,0;42,0;17,8;18,8;17,1;999,2;999,9;999,2;2,9;130,0;5,5;2586,68;0,0;
01/07/2018;1600;33,3;33,8;31,2;39,0;44,0;37,0;17,3;18,1;16,6;998,2;999,2;998,2;3,9;102,0;6,4;2699,51;0,0;
01/07/2018;1700;33,5;33,7;32,6;35,0;40,0;35,0;16,1;17,8;15,9;997,4;998,3;997,4;2,6;147,0;6,8;2797,01;0,0;
01/07/2018;1800;32,4;34,5;31,8;50,0;51,0;34,0;20,8;20,8;16,1;997,1;997,4;997,0;5,0;77,0;8,6;1873,11;0,0;
01/07/2018;1900;30,7;32,5;30,7;52,0;53,0;49,0;19,8;20,6;19,7;997,2;997,2;997,1;4,8;81,0;8,2;1566,01;0,0;
01/07/2018;2000;29,0;30,9;29,0;56,0;56,0;52,0;19,4;20,1;19,4;997,5;997,5;997,2;4,8;77,0;8,0;770,88;0,0;
01/07/2018;2100;26,7;29,0;26,7;64,0;64,0;56,0;19,2;19,4;19,1;998,2;998,2;997,5;3,9;93,0;7,6;80,67;0,0;
01/07/2018;2200;26,4;26,7;26,3;67,0;68,0;64,0;19,7;19,8;19,3;998,9;998,9;998,2;3,4;91,0;7,3;;0,0;
01/07/2018;2300;26,2;26,5;26,2;68,0;68,0;65,0;19,9;19,9;19,5;999,6;999,6;998,9;3,9;106,0;7,0;;0,0;
02/07/2018;0000;25,9;26,2;25,9;75,0;75,0;68,0;21,0;21,0;20,0;1000,3;1000,3;999,6;4,1;116,0;7,9;;0,0;
02/07/2018;0100;26,0;26,0;25,9;76,0;77,0;75,0;21,5;21,6;21,0;1000,4;1000,4;1000,3;3,9;104,0;7,8;;0,0;
02/07/2018;0200;26,1;26,1;26,0;77,0;77,0;76,0;21,8;21,8;21,5;1000,4;1000,5;1000,3;4,9;102,0;8,0;;0,0;
02/07/2018;0300;26,1;26,2;26,1;78,0;78,0;77,0;21,9;21,9;21,8;1000,1;1000,5;1000,1;4,6;118,0;8,2;;0,0;
02/07/2018;0400;26,1;26,2;26,1;79,0;79,0;78,0;22,2;22,2;21,9;999,6;1000,1;999,6;3,9;111,0;8,4;;0,0;
02/07/2018;0500;26,1;26,2;26,1;79,0;80,0;79,0;22,3;22,4;22,2;999,2;999,6;999,2;5,3;112,0;10,0;;0,0;
02/07/2018;0600;26,2;26,2;26,0;79,0;80,0;79,0;22,2;22,4;22,2;998,9;999,2;998,9;5,1;110,0;9,7;;0,0;
02/07/2018;0700;25,9;26,2;25,9;78,0;79,0;78,0;21,9;22,2;21,9;999,0;999,0;998,9;4,3;116,0;9,2;;0,0;
02/07/2018;0800;25,8;25,9;25,6;79,0;80,0;78,0;21,8;22,0;21,7;999,7;999,7;999,0;3,4;111,0;7,5;;0,0;
02/07/2018;0900;25,4;25,8;25,3;77,0;79,0;77,0;21,0;21,7;21,0;999,8;999,8;999,7;3,7;114,0;7,0;4,85;0,0;
02/07/2018;1000;26,1;26,4;25,3;72,0;77,0;72,0;20,7;21,3;20,6;1000,5;1000,5;999,8;4,0;129,0;7,8;294,96;0,0;
02/07/2018;1100;27,7;27,9;26,1;66,0;73,0;66,0;20,9;21,3;20,6;1001,0;1001,1;1000,5;3,1;145,0;7,8;1101,76;0,0;
02/07/2018;1200;28,8;29,2;27,7;58,0;66,0;58,0;19,7;21,4;19,1;1001,2;1001,4;1001,0;3,9;133,0;8,1;1728,17;0,0;
02/07/2018;1300;29,9;30,0;28,4;54,0;59,0;54,0;19,5;20,2;19,1;1000,9;1001,4;1000,9;3,6;150,0;10,1;2127,26;0,0;
02/07/2018;1400;31,3;32,0;29,4;48,0;54,0;48,0;19,1;20,1;18,8;1000,4;1001,0;1000,4;3,9;129,0;7,6;2508,79;0,0;
02/07/2018;1500;32,6;33,2;30,6;44,0;49,0;43,0;18,9;19,5;18,0;999,7;1000,4;999,7;2,8;104,0;7,5;2176,71;0,0;
02/07/2018;1600;33,7;34,5;31,6;37,0;47,0;37,0;17,2;19,3;17,1;998,6;999,7;998,6;2,9;120,0;6,4;3086,06;0,0;
02/07/2018;1700;34,0;34,4;33,3;38,0;40,0;36,0;17,5;18,2;16,8;997,6;998,5;997,6;2,3;190,0;6,5;2802,03;0,0;
02/07/2018;1800;33,8;34,7;33,6;35,0;38,0;34,0;16,3;17,8;16,1;997,2;997,6;997,2;2,6;158,0;6,0;2249,33;0,0;
02/07/2018;1900;31,2;34,5;31,2;56,0;56,0;35,0;21,2;21,9;16,3;997,3;997,3;997,1;5,8;80,0;9,3;1544,03;0,0;
02/07/2018;2000;28,5;31,2;28,5;65,0;65,0;56,0;21,2;21,5;21,1;997,6;997,6;997,3;5,2;68,0;9,3;771,00;0,0;
02/07/2018;2100;26,4;28,5;26,4;73,0;73,0;65,0;21,2;21,3;21,0;998,6;998,6;997,6;3,9;90,0;8,8;84,41;0,0;
02/07/2018;2200;26,0;26,4;26,0;72,0;75,0;72,0;20,5;21,3;20,5;998,9;998,9;998,6;2,9;112,0;6,1;;0,0;
